input,output,instruction
Is Master of Science (Computer Science) offered in Chiniot-Faisalabad?,Yes,
Is Master of Science (Computer Science) offered in Islamabad?,Yes,
Is Master of Science (Computer Science) offered in Karachi?,Yes,
Is Master of Science (Computer Science) offered in Lahore?,Yes,
Is Master of Science (Computer Science) offered in Peshawar?,Yes,
Is Master of Science (Computer Science) offered in Program Type?,No,
Is Master of Science (Cyber Security) offered in Chiniot-Faisalabad?,No,
Is Master of Science (Cyber Security) offered in Islamabad?,Yes,
Is Master of Science (Cyber Security) offered in Karachi?,Yes,
Is Master of Science (Cyber Security) offered in Lahore?,Yes,
Is Master of Science (Cyber Security) offered in Peshawar?,No,
Is Master of Science (Cyber Security) offered in Program Type?,No,
Is Master of Science (Data Science) offered in Chiniot-Faisalabad?,Yes,
Is Master of Science (Data Science) offered in Islamabad?,Yes,
Is Master of Science (Data Science) offered in Karachi?,Yes,
Is Master of Science (Data Science) offered in Lahore?,Yes,
Is Master of Science (Data Science) offered in Peshawar?,Yes,
Is Master of Science (Data Science) offered in Program Type?,No,
Is Master of Science (Electrical Engineering) offered in Chiniot-Faisalabad?,Yes,
Is Master of Science (Electrical Engineering) offered in Islamabad?,Yes,
Is Master of Science (Electrical Engineering) offered in Karachi?,Yes,
Is Master of Science (Electrical Engineering) offered in Lahore?,Yes,
Is Master of Science (Electrical Engineering) offered in Peshawar?,No,
Is Master of Science (Electrical Engineering) offered in Program Type?,No,
Is Master of Science (Mathematics) offered in Chiniot-Faisalabad?,No,
Is Master of Science (Mathematics) offered in Islamabad?,No,
Is Master of Science (Mathematics) offered in Karachi?,No,
Is Master of Science (Mathematics) offered in Lahore?,Yes,
Is Master of Science (Mathematics) offered in Peshawar?,No,
Is Master of Science (Mathematics) offered in Program Type?,No,
Is Master of Science (Software Engineering) offered in Chiniot-Faisalabad?,No,
Is Master of Science (Software Engineering) offered in Islamabad?,Yes,
Is Master of Science (Software Engineering) offered in Karachi?,Yes,
Is Master of Science (Software Engineering) offered in Lahore?,No,
Is Master of Science (Software Engineering) offered in Peshawar?,No,
Is Master of Science (Software Engineering) offered in Program Type?,No,
Is Master of Science (Software Project Management) offered in Chiniot-Faisalabad?,No,
Is Master of Science (Software Project Management) offered in Islamabad?,No,
Is Master of Science (Software Project Management) offered in Karachi?,Yes,
Is Master of Science (Software Project Management) offered in Lahore?,Yes,
Is Master of Science (Software Project Management) offered in Peshawar?,No,
Is Master of Science (Software Project Management) offered in Program Type?,No,
Is Doctor of Philosophy (Civil Engineering) offered in Chiniot-Faisalabad?,No,
Is Doctor of Philosophy (Civil Engineering) offered in Islamabad?,No,
Is Doctor of Philosophy (Civil Engineering) offered in Karachi?,No,
Is Doctor of Philosophy (Civil Engineering) offered in Lahore?,Yes,
Is Doctor of Philosophy (Civil Engineering) offered in Peshawar?,No,
Is Doctor of Philosophy (Civil Engineering) offered in Program Type?,No,
Is Doctor of Philosophy (Computer Science) offered in Chiniot-Faisalabad?,Yes,
Is Doctor of Philosophy (Computer Science) offered in Islamabad?,Yes,
Is Doctor of Philosophy (Computer Science) offered in Karachi?,Yes,
Is Doctor of Philosophy (Computer Science) offered in Lahore?,Yes,
Is Doctor of Philosophy (Computer Science) offered in Peshawar?,Yes,
Is Doctor of Philosophy (Computer Science) offered in Program Type?,No,
Is Doctor of Philosophy (Electrical Engineering) offered in Chiniot-Faisalabad?,Yes,
Is Doctor of Philosophy (Electrical Engineering) offered in Islamabad?,Yes,
Is Doctor of Philosophy (Electrical Engineering) offered in Karachi?,Yes,
Is Doctor of Philosophy (Electrical Engineering) offered in Lahore?,Yes,
Is Doctor of Philosophy (Electrical Engineering) offered in Peshawar?,No,
Is Doctor of Philosophy (Electrical Engineering) offered in Program Type?,No,
Is Doctor of Philosophy (Management Sciences) offered in Chiniot-Faisalabad?,No,
Is Doctor of Philosophy (Management Sciences) offered in Islamabad?,Yes,
Is Doctor of Philosophy (Management Sciences) offered in Karachi?,No,
Is Doctor of Philosophy (Management Sciences) offered in Lahore?,Yes,
Is Doctor of Philosophy (Management Sciences) offered in Peshawar?,No,
Is Doctor of Philosophy (Management Sciences) offered in Program Type?,No,
Is Doctor of Philosophy (Mathematics) offered in Chiniot-Faisalabad?,No,
Is Doctor of Philosophy (Mathematics) offered in Islamabad?,No,
Is Doctor of Philosophy (Mathematics) offered in Karachi?,No,
Is Doctor of Philosophy (Mathematics) offered in Lahore?,Yes,
Is Doctor of Philosophy (Mathematics) offered in Peshawar?,No,
Is Doctor of Philosophy (Mathematics) offered in Program Type?,No,
Is Doctor of Philosophy (Software Engineering) offered in Chiniot-Faisalabad?,No,
Is Doctor of Philosophy (Software Engineering) offered in Islamabad?,Yes,
Is Doctor of Philosophy (Software Engineering) offered in Karachi?,Yes,
Is Doctor of Philosophy (Software Engineering) offered in Lahore?,No,
Is Doctor of Philosophy (Software Engineering) offered in Peshawar?,No,
Is Doctor of Philosophy (Software Engineering) offered in Program Type?,No,
Hi,Hi how may I help you?,
Admission Procedure,"Admission Application Form must be filled online by following the instructions. Click Here for Online Admission Application Applications received through post or by hand will not be accepted/entertained. The online system assigns a unique Application Reference Number (ARN) to each applicant, which must be noted for later use. Applicant will confirm that information entered in the Admission Application Form is correct. In case of incorrect information, the University has all the rights to cancel the application/admission without any fee refund. Applicant will deposit the Application Fee in the designated Bank. Fee is non-refundable/adjustable. Upon payment of the Application Processing Fee (and additional Admission Test Fee), the applicant will print his/her ADMIT CARD bearing the applicant’s TEST ROLL NUMBER. The applicant should then visit the test campus on the specified date and time as mentioned on the Admit card. Admission of a student automatically stands cancelled if he or she fails in the required exam whose result was not available at the time of admission. Admission Application Form must be filled online by following the instructions. Click Here for Online Admission Application Applications received through post or by hand will not be accepted/entertained. The online system assigns a unique Application Reference Number (ARN) to each applicant, which must be noted for later use. Applicant will confirm that information entered in the Admission Application Form is correct. In case of incorrect information, the University has all the rights to cancel the application/admission without any fee refund. Admission of a student automatically stands cancelled if he or she fails in the required exam whose result was not available at the time of admission.",
NU Online Admission Test for Graduate programs,"Information on various Admission Tests is available on the University’s admission web-siteadmissions.nu.edu.pk The online admission test is taken on a computer. The candidate should be familiar with the use of mouse and the keyboard. Each candidate is given a different examination. The sections of a test (English, Analytical skills, Math etc) appear in a random sequence. Moreover, questions related to different topics also appear before the candidate in a random sequence. In each section, a candidate can move forward and backwards to review the responses selected. The candidate can change his or her response to any question within the current section. Each section of the admission test has a fixed duration. Each section is timed independently and time saved in one section is not carried forward to the next sections. At the end of the test, a summary of the results is displayed on screen. The duration of the Online Admission Test is between two and three hours. Applicants should reach the test centre on the date and time specified on the admit card. Latecomers will not be allowed to take the test. Applicants should not bring anything to the test centre except their Admit Cards. No applicant will be allowed to take the test without an endorsed Admit Card. The Admission Test is held at all campuses of the University (Karachi, Lahore, Islamabad, and Peshawar).",
Selected Candidates Announcement,The selected candidates are informed through SMS on their cell phones and also via email. The candidates should check the status of their admission from the University web siteadmissions.nu.edu.pkorwww.nu.edu.pk.,
Foreign Nationals,"At the time of admission, foreign nationals must submit a No Objection Certificate (NOC) from the Ministry of Education, Government of Pakistan.",
GRE and SAT Examinations,"Those who have taken SAT examination can apply for admission to the undergraduate programs, i.e. BBA or BS. Those who have taken the GRE (subject test) can apply for admission to graduate programs, i.e. MS, MBA or PhD. Click here to Apply Online The Institution code for receiving SAT scores is 4575 The Institution code for receiving GRE scores is 7386",
What is the address for the Islamabad campus?,"A.K. Brohi Road, H-11/4",
What is the phone number for the Islamabad campus?,Tel: 111 128 128 or (051) 831 4100-29,
What is the fax number for the Islamabad campus?,Fax: (051) 410 0619,
What is the address for the Lahore campus?,"Block-B, Faisal Town",
What is the phone number for the Lahore campus?,Tel: 111 128 128 or (042) 516 5680-83,
What is the fax number for the Lahore campus?,Fax: (042) 516 5232,
What is the address for the Karachi City campus?,"22-G, Block-6, PECHS, Karachi.",
What is the phone number for the Karachi City campus?,Tel: (021) 343 90941-5,
What is the address for the Karachi Main campus?,Shah Latif Town (on National Highway),
What is the phone number for the Karachi Main campus?,Tel: 111 128 128 or (021) 341 00541-6,
What is the fax number for the Karachi Main campus?,Fax: (021) 341 00549,
What is the address for the Peshawar campus?,"160, Industrial Estate, Jamrud Road",
What is the phone number for the Peshawar campus?,03341128128 or 03351128128 or 03361128128,
What is the fax number for the Peshawar campus?,Fax: (091) 582 2320,
What is the address for the Chiniot - Faisalabad campus?,"Loonaywala Stop (9 Km from Motorway Interchange), Faisalabad-Chiniot Road",
What is the phone number for the Chiniot - Faisalabad campus?,Tel: (041) 111-128-128,
What is the email for admissions for the Chiniot campus?,admissions.cfd@nu.edu.pk,
What is the email for admissions for the Islamabad campus?,admissions.isb@nu.edu.pk,
What is the email for admissions for the Karachi campus?,admissions.khi@nu.edu.pk,
What is the email for admissions for the Lahore campus?,admissions.lhr@nu.edu.pk,
What is the email for admissions for the Peshawar campus?,admissions.pwr@nu.edu.pk,
What is the extension for the Director in Karachi?,ext: 213,
What is the extension for the Director in Lahore?,ext: 227,
What is the extension for the Director in Islamabad?,ext: 101,
What is the extension for the Director in Peshawar?,ext: 102,
What is the extension for Accounts in Karachi?,ext: 216,
What is the extension for Accounts in Lahore?,ext: 209,
What is the extension for Accounts in Islamabad?,ext: 226,
What is the extension for Accounts in Peshawar?,ext: 117,
What is the extension for Academics in Karachi?,ext: 264,
What is the extension for Academics in Lahore?,ext: 289/233,
What is the extension for Academics in Islamabad?,ext: 623/119/137/218,
What is the extension for Academics in Peshawar?,ext: 108,
What is the extension for the Computer Lab in Karachi?,ext: 100,
What is the extension for the Computer Lab in Lahore?,ext: 215,
What is the extension for the Computer Lab in Islamabad?,ext: 214,
What is the extension for the Computer Lab in Peshawar?,ext: 120,
What is the extension for the Library in Karachi?,ext: 223,
What is the extension for the Library in Lahore?,ext: 210,
What is the extension for the Library in Islamabad?,ext: 231/232,
What is the extension for the Library in Peshawar?,ext: 119,
What is the extension for Admissions Inquiry in Karachi?,ext: 267/276,
What is the extension for Admissions Inquiry in Lahore?,dial 1,
What is the extension for Admissions Inquiry in Islamabad?,ext: 134/259/359,
What is the extension for Admissions Inquiry in Peshawar?,ext: 155,
What is the Admission Fee?,"Admission Fee of Rs 30,000 is payable once at the time of admission. If a graduate of this University is admitted to a higher degree program, then the admission fee is not payable again.",
What is the Security Deposit?,"A refundable security deposit of Rs 20,000 is also payable at the time of admission.",
When is the Tuition Fee payable?,Tuition Fee is payable in full before the start of each semester. It is subject to revision every year.,
What is the tuition fee per credit hour for the academic year 2024-25?,"Rs. 10,000",
What is the tuition fee per credit hour for BBA / BS?,"Rs. 10,000",
What is the tuition fee per credit hour for MBA / MS?,"Rs. 10,000",
What is the tuition fee per credit hour for PhD?,"Rs. 10,000",
What is the Additional Transcript Fee?,Rs. 200,
What is the Campus Transfer Fee?,"Rs. 5,000",
What is the Degree Correction Fee?,"Rs. 2,000",
What is the Semester Freeze Fee?,"Rs. 10,000",
What is the Student Activities Fund?,"Students contribute Rs 2,000 towards the Student Activities Fund per semester to support co-curricular and extra-curricular activities.",
What is the total tution fees?,It ranges from 150k to 180k,
What are the merit scholarships for Bachelor students?,Merit scholarship is awarded to the Top THREE position holders in each Group of each Examination Board. Scholarships are also offered to the top three position holders in the NU admission merit list. This scholarship is for four years of uninterrupted studies with a full course load and is equal to the full tuition fee. Continuation of the merit scholarship is subject to maintaining a semester GPA of 3.0 or higher.,
Who is eligible for merit scholarships for Bachelor students?,"The top three position holders in each Group of each Examination Board and the top three position holders in the NU admission merit list are eligible. The scholarship covers four years of uninterrupted studies with a full course load and full tuition fee, subject to maintaining a semester GPA of 3.0 or higher.",
What scholarships are available for MS and PhD students?,"The Higher Education Commission (HEC) provides liberal scholarships to students studying for MS and PhD degrees at this university. The scholarship covers tuition fee, monthly stipend, and book allowance.",
What does the HEC scholarship for MS and PhD students cover?,"HEC scholarships cover the tuition fee, monthly stipend, and book allowance for MS and PhD students.",
What are the PEEF Scholarships?,"The Government of Punjab gives 42 scholarships to indigent students with Punjab domicile. Newly admitted students in any campus of the university can apply. The scholarship covers some portion of the tuition fee, with the remaining fee potentially covered by the University as Qarz-e-Hasna.",
Who can apply for the Punjab Educational Endowment Fund (PEEF) Scholarships?,Indigent students with Punjab domicile can apply. The scholarship is for 4-year undergraduate studies and covers part of the tuition fee. The remaining fee may be covered by the University as Qarz-e-Hasna.,
What scholarships does the Sindh Government offer?,"The Sindh Government offers scholarships to Karachi campus students on need-cum-merit for undergraduate and graduate studies. The scholarship covers full tuition fee for the entire program duration and is renewable yearly. The quota for rural students is 60%, and 40% for urban students. About 25 new scholarships are offered yearly under this scheme.",
Who is eligible for the Sindh Government Endowment Board Scholarships?,"Students from Karachi campus on need-cum-merit for both undergraduate and graduate studies are eligible. The scholarship covers full tuition fee, renewable yearly. The quota is 60% for rural students and 40% for urban students, with about 25 new scholarships offered yearly.",
What scholarships does the Baluchistan Government offer?,The Baluchistan Government offers scholarships to Karachi campus students on need-cum-merit for undergraduate and graduate studies. The scholarship covers full tuition fee for the entire program duration and is renewable yearly.,
Who can apply for the Baluchistan Government Endowment Board Scholarship?,Karachi campus students on need-cum-merit for both undergraduate and graduate studies can apply. The scholarship covers full tuition fee and is renewable yearly.,
What is OSAF Financial Assistance?,OSAF (Old Students Association of FAST) arranges financial assistance for students who cannot afford their full fee.,
Who provides financial assistance for students unable to pay their full fee?,The Old Students Association of FAST (OSAF) provides financial assistance for such students.,
What other scholarships are available?,"Various community-based scholarships are available, such as Memon Community Scholarships, Bohra Community Scholarships, INFAQ Foundation Scholarships, and Agha Khan Foundation Scholarships. Karachi campus also offers scholarships from the Alumni Association, Hindu Community, and Agha Khan Foundation.",
Are there any community-based scholarships available?,"Yes, scholarships are offered by the Memon Community, Bohra Community, INFAQ Foundation, Agha Khan Foundation, and others. Karachi campus also has scholarships from the Alumni Association, Hindu Community, and Agha Khan Foundation.",
Can students get compensated for working at the University?,"Yes, the University may utilize the services of its students in different activities, and these students are compensated.",
Does the University offer compensated work opportunities for students?,The University may employ students in various activities and provide compensation for their services.,
What banks offer loans to students?,"PICIC Commercial Bank, NIB Bank, Bank Alfalah, Bank Islami, and MCB offer loans to students.",
Which financial institutions provide loans for students?,"Students can get loans from PICIC Commercial Bank, NIB Bank, Bank Alfalah, Bank Islami, and MCB.",
Does the University offer study loans?,"Yes, FAST arranges interest-free study loans for bright indigent students. This assistance is renewed each semester based on academic performance. It covers tuition fees only and is discontinued if the students CGPA falls below the minimum specified to avoid warning. Loan recipients must take a full load of courses.",
Are there any interest-free study loans available for students?,"Yes, the University provides interest-free study loans for bright indigent students, covering tuition fees only and subject to academic performance renewal each semester. Loan recipients must take a full course load.",
How can students apply for a study loan?,Students should apply using the prescribed form available at all campuses or downloadable from the University website.,
What is the procedure to apply for a study loan?,"Applicants need to fill out the prescribed form, available at all campuses or downloadable from the University website.",
When does repayment of the study loan start?,"The repayment of the loan starts three months after graduation or soon after getting employment, whichever is earlier. The total amount must be repaid within four years after graduation. Students must sign a contract allowing future employers to deduct loan repayments at source and remit it to the University.",
What is the timeline for repaying the study loan?,"Repayment starts three months after graduation or upon employment, whichever comes first. The total loan amount must be repaid within four years of graduation, with a contract for employer deduction and remittance.",
What is the tallest mountain in the world?,"I'm sorry, I don't have the information on that topic",
Who discovered penicillin?,"I'm sorry, I don't have the information on that topic",
What is the speed of light?,"I'm sorry, I don't have the information on that topic",
Who is the current president of the United States,"I'm sorry, I don't have the information on that topic",
What is the capital of Japan?,"I'm sorry, I don't have the information on that topic",
How many planets are in our solar system?,"I'm sorry, I don't have the information on that topic",
What is the largest ocean on Earth?,"I'm sorry, I don't have the information on that topic",
Who invented the telephone?,"I'm sorry, I don't have the information on that topic",
What is the currency of the United Kingdom?,"I'm sorry, I don't have the information on that topic",
"Who directed the movie ""Inception""?","I'm sorry, I don't have the information on that topic",
What is the boiling point of water?,"I'm sorry, I don't have the information on that topic",
"Who is the author of ""Harry Potter""?","I'm sorry, I don't have the information on that topic",
What is the national animal of Canada?,"I'm sorry, I don't have the information on that topic",
How many bones are in the human body?,"I'm sorry, I don't have the information on that topic",
What is the main ingredient in chocolate?,"I'm sorry, I don't have the information on that topic",
Hi there,Hello! How can I help you today?,
Hello there,Hello! How can I help you today?,
Good morning,Hello! How can I help you today?,
Good afternoon,Hello! How can I help you today?,
Good evening,Hello! How can I help you today?,
Greetings,Hello! How can I help you today?,
Who are you,I am a chatbot,
what is your name,My name is AskFast,
who is the founder of FAST,"FAST (Foundation for Advancement of Science and Technology) University, now known as the National University of Computer and Emerging Sciences (NUCES), was founded by the late Dr. Abdul Wahab and the late Mr. Basit Riaz Sheikh",
